ders	ünite_adı	konu_adı	kart_ön	kart_arka
Tarih	Türklerin İslamiyet'i Kabulü	Talas Savaşı ve İlk Türk İslam Devletleri	Orta Asya'daki ilk Müslüman Türk devleti?	Karahanlılar
Tarih	İslamiyet'in Türk Toplumuna Etkisi	Devlet Anlayışı ve Hükümdarlık Sembolleri	Halifenin yönetim onayı?	Menşur
Tarih	İslamiyet'in Türk Toplumuna Etkisi	Devlet Anlayışı ve Hükümdarlık Sembolleri	Hükümdarlık şemsiyesi?	Çetr
Tarih	İslamiyet'in Türk Toplumuna Etkisi	Türk-İslam Dünyasında İlk Eserler	Kutadgu Bilig yazarı?	Yusuf Has Hacip
Tarih	İslamiyet'in Türk Toplumuna Etkisi	Türk-İslam Dünyasında İlk Eserler	Türkçe sözlüğün adı?	Divânü Lugati't-Türk
Tarih	Büyük Selçuklu Devleti	Kuruluş ve Anadolu Akınları	Büyük Selçuklu kuruluş savaşı?	Dandanakan
Tarih	Büyük Selçuklu Devleti	Kuruluş ve Anadolu Akınları	Bizans'la ilk Selçuklu savaşı?	Pasinler
Tarih	Büyük Selçuklu Devleti	Yönetim ve Kültür	Mali işlerden sorumlu divan?	Divan-ı İstifa
Tarih	Büyük Selçuklu Devleti	Yönetim ve Kültür	Askerî işlerden sorumlu divan?	Divan-ı Arz
Tarih	Türklerin Anadolu'ya Yerleşme Süreci	Anadolu'ya İlk Akınlar ve Türkiye Adı	Anadolu'ya ilk Türk akınları?	Avrupa Hunları
Tarih	Türklerin Anadolu'ya Yerleşme Süreci	Anadolu'ya İlk Akınlar ve Türkiye Adı	Türkiye adı Anadolu için hangi yüzyılda?	XII. yüzyıl
Tarih	Türklerin Anadolu'ya Yerleşme Süreci	Oğuz Göçlerinin Nedenleri	Oğuz göçleriyle hızlanan süreç?	Türkleşme
Tarih	Türklerin Anadolu'ya Yerleşme Süreci	Oğuz Göçlerinin Nedenleri	Oğuz göçlerini kolaylaştıran Bizans durumu?	Siyasi karışıklık
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Anadolu'da Kurulan İlk Türk Beylikleri	Anadolu'daki ilk Türk beyliği?	Saltuklular
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Anadolu'da Kurulan İlk Türk Beylikleri	İlk Türk donanmasının kurucusu?	Çaka Bey
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Türkiye Selçuklu Devleti ve Miryokefalon	Türkiye Selçuklu kurucusu?	Süleyman Şah
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Türkiye Selçuklu Devleti ve Miryokefalon	Haçlı Seferleri sonrası Türkiye Selçuklu başkenti?	Konya
Tarih	Hilal ve Haç Mücadelesi	Haçlı Seferleri ve Nedenleri	Haçlı Seferleri çağrısını yapan?	II. Urban
Tarih	Hilal ve Haç Mücadelesi	Haçlı Seferleri ve Nedenleri	Haçlıların ana hedefi?	Kudüs
Tarih	Hilal ve Haç Mücadelesi	Sonraki Seferler ve Genel Sonuçlar	Hıttin Zaferi'nin komutanı?	Selahaddin Eyyubi
Tarih	Hilal ve Haç Mücadelesi	Sonraki Seferler ve Genel Sonuçlar	IV. Haçlı Seferi sonucu?	Latin İmparatorluğu
Tarih	Moğol İstilası ve Anadolu	Yassıçemen, Baba İshak ve Kösedağ Savaşı	Yassıçemen Savaşı yılı?	1230
Tarih	Moğol İstilası ve Anadolu	Yassıçemen, Baba İshak ve Kösedağ Savaşı	Baba İshak İsyanı yılı?	1240
Tarih	Osmanlı Beyliği'nin Kuruluşu	Osman ve Orhan Gazi Dönemi	Osmanlı devletleşme savaşı?	Koyunhisar
Tarih	Osmanlı Beyliği'nin Kuruluşu	Osman ve Orhan Gazi Dönemi	Bursa'nın fetih yılı?	1326
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	Rumeli'ye Geçiş ve Çimpe Kalesi	Rumeli'deki ilk Osmanlı toprağı?	Çimpe Kalesi
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	Rumeli'ye Geçiş ve Çimpe Kalesi	Çimpe Kalesi'nin alınış yılı?	1353
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	İskân ve İstimâlet Politikası	Türkmen yerleştirme politikası?	İskân
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	İskân ve İstimâlet Politikası	Gayrimüslimlere hoşgörü politikası?	İstimâlet
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Osmanlı'nın Beylikleri Katma Politikası	İlk katılan Anadolu beyliği?	Karesioğulları
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Osmanlı'nın Beylikleri Katma Politikası	Karesioğullarından kazanılan güç?	Donanma
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Ankara Savaşı ve Fetret Devri	Ankara Savaşı'ndaki rakip?	Timur
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Ankara Savaşı ve Fetret Devri	1402 sonrası dönem?	Fetret Devri
Tarih	Savaşçılar ve Askerler	Tımar Sistemi ve Tımarlı Sipahiler	Tımar toprağının sahibi?	Devlet
Tarih	Savaşçılar ve Askerler	Tımar Sistemi ve Tımarlı Sipahiler	Tımarlı sipahinin yetiştirdiği asker?	Cebelü
Tarih	Savaşçılar ve Askerler	Kapıkulu Ocakları ve Devşirme	Kapıkulunun ana piyadesi?	Yeniçeri
Tarih	Savaşçılar ve Askerler	Kapıkulu Ocakları ve Devşirme	Üç aylık asker maaşı?	Ulufe
Tarih	Sosyal ve Kültürel Faaliyetler	Osmanlı'da Yönetici Sınıflar (Askerî)	Vergiden muaf yönetici sınıf?	Askerî
Tarih	Sosyal ve Kültürel Faaliyetler	Osmanlı'da Yönetici Sınıflar (Askerî)	Adalet ve eğitim sınıfı?	İlmiye
Tarih	Sosyal ve Kültürel Faaliyetler	Mutasavvıflar ve Bilim İnsanları	Ahilik kurucusu?	Ahi Evran
Tarih	Sosyal ve Kültürel Faaliyetler	Mutasavvıflar ve Bilim İnsanları	Mikrop fikriyle tanınan?	Akşemseddin
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Nedenleri ve Hazırlıklar	Boğazı denetleyen hisar?	Rumeli Hisarı
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Nedenleri ve Hazırlıklar	İstanbul'un fetih tarihi?	29 Mayıs 1453
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Dünya Tarihine Etkisi	Fetihle yıkılan devlet?	Bizans
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Dünya Tarihine Etkisi	Fetihle başlayan çağ?	Yeni Çağ
Tarih	İslam Dünyasında Birliği Sağlama	Safevi ve Memluk Mücadelesi (Yavuz Dönemi)	Safevilere karşı savaş?	Çaldıran
Tarih	İslam Dünyasında Birliği Sağlama	Safevi ve Memluk Mücadelesi (Yavuz Dönemi)	Memlükleri yıkan savaş?	Ridaniye
Tarih	Dünyanın Muhteşem Gücü Osmanlı	Kanuni Sultan Süleyman Dönemi	Macaristan'ı sarsan savaş?	Mohaç
Tarih	Dünyanın Muhteşem Gücü Osmanlı	Kanuni Sultan Süleyman Dönemi	1533'te Avusturya üstünlüğünü gösteren antlaşma?	İstanbul Antlaşması
Tarih	Stratejik Siyaset ve Dünya Gücü	Kapitülasyonlar	Kanuni, Fransa'ya kapitülasyonla hangi hanedana karşı denge kurdu?	Habsburglar
Tarih	Stratejik Siyaset ve Dünya Gücü	Kapitülasyonlar	Kapitülasyonların süreklilik yılı?	1740
Tarih	Stratejik Siyaset ve Dünya Gücü	Hint Deniz Seferleri	Hint Deniz Seferleri'ndeki rakip?	Portekiz
Tarih	Stratejik Siyaset ve Dünya Gücü	Hint Deniz Seferleri	Güvenliği güçlenen deniz?	Kızıldeniz
Tarih	Saray ve Şehir Kültürü	Saray Teşkilatı	Devlet adamı yetiştiren bölüm?	Enderun
Tarih	Saray ve Şehir Kültürü	Saray Teşkilatı	Padişah ailesinin bölümü?	Harem
Tarih	Saray ve Şehir Kültürü	Divan-ı Hümayun	Divan başkanı?	Sadrazam
Tarih	Saray ve Şehir Kültürü	Divan-ı Hümayun	Mali işlerden sorumlu?	Defterdar
Tarih	Saray ve Şehir Kültürü	Gelenekler Işığında Devlet İdaresi	Fatih'in hukuk metni?	Kanunname
Tarih	Saray ve Şehir Kültürü	Gelenekler Işığında Devlet İdaresi	En yaşlı hanedan sistemi?	Ekber ve Erşed
Tarih	Millet Sistemi	Osmanlı Millet Sistemi	Millet sisteminin temeli?	Din ve mezhep
Tarih	Millet Sistemi	Osmanlı Millet Sistemi	Gayrimüslimlerin vergisi?	Cizye
Tarih	Toprak Sistemi ve Lonca	Osmanlı Toprak Sistemi	Devlete ait toprak?	Miri
Tarih	Toprak Sistemi ve Lonca	Osmanlı Toprak Sistemi	Dirlik sisteminin en yüksek gelirli bölümü?	Has
Tarih	Toprak Sistemi ve Lonca	Lonca Teşkilatı ve Narh	Fiyat denetimi?	Narh
Tarih	Toprak Sistemi ve Lonca	Lonca Teşkilatı ve Narh	Meslek yapma hakkı?	Gedik
Tarih	Uzun Savaşlardan Diplomasiye	Zitvatorok ve Bucaş Antlaşmaları	Avusturya'yı padişaha denk sayan?	Zitvatorok
Tarih	Uzun Savaşlardan Diplomasiye	Zitvatorok ve Bucaş Antlaşmaları	Bucaş ile Osmanlıya katılan bölge?	Podolya
Tarih	Uzun Savaşlardan Diplomasiye	Karlofça ve 1700 İstanbul Antlaşması	İlk geniş toprak kaybı?	Karlofça
Tarih	Uzun Savaşlardan Diplomasiye	Karlofça ve 1700 İstanbul Antlaşması	Azak'ın bırakıldığı devlet?	Rusya
Tarih	Okyanusların Önem Kazanması	Coğrafi Keşifler ve Kadırgadan Kalyona Geçiş	Ticaretin yöneldiği okyanus?	Atlas Okyanusu
Tarih	Okyanusların Önem Kazanması	Coğrafi Keşifler ve Kadırgadan Kalyona Geçiş	Okyanus savaş gemisi?	Kalyon
Tarih	Fetihlerden Savunmaya	Prut ve Pasarofça Antlaşmaları	Prut Antlaşması'nda Osmanlı'nın karşısındaki devlet?	Rusya
Tarih	Fetihlerden Savunmaya	Prut ve Pasarofça Antlaşmaları	Pasarofça sonrası öne çıkan yenileşme yönü?	Islahat
Tarih	Fetihlerden Savunmaya	Belgrad ve Küçük Kaynarca Antlaşmaları	1739'da geri alınan şehir?	Belgrad
Tarih	Fetihlerden Savunmaya	Belgrad ve Küçük Kaynarca Antlaşmaları	Küçük Kaynarca ile bağımsızlaşan?	Kırım
Tarih	Avrupa'da Değişim Çağı	Rönesans, Reform ve Vestfalya	Rönesans'ın başladığı ülke?	İtalya
Tarih	Avrupa'da Değişim Çağı	Rönesans, Reform ve Vestfalya	Reform'un başladığı ülke?	Almanya
Tarih	Avrupa'da Değişim Çağı	Bilim Devrimi ve Aydınlanma	Güneş merkezli sistemi savunan?	Kopernik
Tarih	Avrupa'da Değişim Çağı	Bilim Devrimi ve Aydınlanma	Evrensel çekim kanununu ortaya koyan?	Newton
Tarih	Osmanlı Devleti'nde Değişim	Ekonomik Sarsıntı ve İltizam Sistemi	Vergi hakkını alan kişi?	Mültezim
Tarih	Osmanlı Devleti'nde Değişim	Ekonomik Sarsıntı ve İltizam Sistemi	Ömür boyu vergi işletimi?	Malikâne
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Celâli İsyanlarının bölgesi?	Anadolu
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Anadolu'daki büyük göç?	Büyük Kaçgun
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	En yaşlı hanedan kuralı?	Ekber ve Erşed
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	Lale Devri'ni başlatan antlaşma?	Pasarofça
Tarih	İhtilaller Çağı	1789 Fransız İhtilali	1789 İhtilali'nin ülkesi?	Fransa
Tarih	İhtilaller Çağı	1789 Fransız İhtilali	En etkili ayrılıkçı akım?	Milliyetçilik
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Zorunlu Askerlik Sistemi	Modern orduların askerlik modeli?	Zorunlu askerlik
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Zorunlu Askerlik Sistemi	Zorunlu askerliği güçlendiren anlayış?	Vatandaşlık
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Nizam-ı Cedit Ordusu	Nizam-ı Cedit padişahı?	III. Selim
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Nizam-ı Cedit Ordusu	Nizam-ı Cedit hazinesi?	İrad-ı Cedit
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Vakay-ı Hayriye ve Yeni Ordu	Yeniçeri Ocağı'nın kaldırılış yılı?	1826
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Vakay-ı Hayriye ve Yeni Ordu	Yeniçeriliğin kaldırılış adı?	Vakay-ı Hayriye
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Ulaşım ve Haberleşme	İlk Osmanlı demir yolu?	İzmir-Aydın
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Ulaşım ve Haberleşme	İlk telgraf hattı dönemi?	Kırım Savaşı
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Modern Eğitim Kurumları	İlk modern askerî okul?	Hendesehane
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Modern Eğitim Kurumları	Denizcilik mühendislik okulu?	Bahr-i Hümâyun
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Sosyal Devlet ve Simgeler	Kimsesizler kurumu?	Darülaceze
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Sosyal Devlet ve Simgeler	Memur emeklilik kurumu?	Tekaüd Sandığı
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Şark Meselesi ve Projeler	Osmanlı'yı parçalama siyaseti?	Şark Meselesi
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Şark Meselesi ve Projeler	Şark Meselesi'nin kongresi?	Viyana Kongresi
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Sırp ve Yunan İsyanları	İlk isyan eden Osmanlı topluluğu?	Sırplar
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Sırp ve Yunan İsyanları	Sırp İsyanı lideri?	Kara Yorgi
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Kırım Savaşı ve 93 Harbi	İlk dış borç yılı?	1854
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Kırım Savaşı ve 93 Harbi	Kırım Savaşı sonunda imzalanan antlaşma?	Paris Antlaşması
Tarih	Osmanlı Devleti'nde Demokratikleşme Hareketleri	Sened-i İttifak ve Tanzimat Fermanı	1808'de imzalanan belge?	Sened-i İttifak
Tarih	Osmanlı Devleti'nde Demokratikleşme Hareketleri	Sened-i İttifak ve Tanzimat Fermanı	1839'da ilan edilen ferman?	Tanzimat Fermanı
Tarih	Osmanlı Devleti'nde Demokratikleşme Hareketleri	Islahat Fermanı	Islahat Fermanı yılı?	1856
Tarih	Osmanlı Devleti'nde Demokratikleşme Hareketleri	Islahat Fermanı	Islahatın hak verdiği kesim?	Gayrimüslimler
Tarih	Osmanlı Devleti'nde Demokratikleşme Hareketleri	Kanun-ı Esasi ve Siyasi Partiler	İlk yazılı Osmanlı anayasası?	Kanun-ı Esasi
Tarih	Osmanlı Devleti'nde Demokratikleşme Hareketleri	Kanun-ı Esasi ve Siyasi Partiler	II. Meşrutiyet yılı?	1908
Tarih	Osmanlı Devleti'nde Darbeler	1876 Darbesi ve 31 Mart Vakası	1876'da tahttan indirilen?	Abdülaziz
Tarih	Osmanlı Devleti'nde Darbeler	1876 Darbesi ve 31 Mart Vakası	1909 ayaklanması?	31 Mart Vakası
Tarih	Osmanlı Devleti'nde Darbeler	Babıâli Baskını	Babıâli Baskını yılı?	1913
Tarih	Osmanlı Devleti'nde Darbeler	Babıâli Baskını	Babıâli Baskınını yapan cemiyet?	İttihat ve Terakki
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-II	Mehmet Ali Paşa ve Boğazlar	1833 Boğazlar antlaşması?	Hünkâr İskelesi
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-II	Mehmet Ali Paşa ve Boğazlar	Boğazları uluslararasılaştıran sözleşme?	Londra Boğazlar Sözleşmesi
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-II	Reval Görüşmesi ve Bloklaşmalar	Reval Görüşmesi'nde Rusya'nın görüştüğü devlet?	İngiltere
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-II	Reval Görüşmesi ve Bloklaşmalar	Almanya'nın yer aldığı savaş öncesi blok?	Üçlü İttifak
Tarih	Osmanlıda Sanayileşme Çabaları	Balta Limanı Antlaşması (1838)	Balta Limanı'nın yılı?	1838
Tarih	Osmanlıda Sanayileşme Çabaları	Balta Limanı Antlaşması (1838)	Balta Limanı Antlaşması'nın tarafı?	İngiltere
Tarih	Osmanlıda Sanayileşme Çabaları	Dış Borçlar ve Düyûn-ı Umûmiye	İlk dış borç yılı?	1854
Tarih	Osmanlıda Sanayileşme Çabaları	Dış Borçlar ve Düyûn-ı Umûmiye	Borç idaresi?	Düyûn-ı Umûmiye
Tarih	Osmanlıda Sanayileşme Çabaları	Millî İktisat Politikası	Millî İktisat dönemi?	I. Dünya Savaşı
Tarih	Osmanlıda Sanayileşme Çabaları	Millî İktisat Politikası	Sanayiyi teşvik eden kanun?	Teşvik-i Sanayi
Tarih	XIX ve XX. Yüzyılda Osmanlı Nüfusu	Kafkas Göçleri	Kafkas göçlerini hızlandıran kayıp?	Kırım
Tarih	XIX ve XX. Yüzyılda Osmanlı Nüfusu	Kafkas Göçleri	Kafkas göçlerinin ana hedefi?	Anadolu
Tarih	XIX ve XX. Yüzyılda Osmanlı Nüfusu	Metropoller ve Kamuoyu	İlk resmî Osmanlı gazetesi?	Takvim-i Vekayi
Tarih	XIX ve XX. Yüzyılda Osmanlı Nüfusu	Metropoller ve Kamuoyu	Gazetelerin oluşturduğu?	Kamuoyu
Tarih	Mustafa Kemal'in Lider Olarak Yetişmesi	Eğitim Hayatı ve Etkilendiği Şehirler	Mustafa Kemal'in eğitim başlangıcı?	Selanik
Tarih	Mustafa Kemal'in Lider Olarak Yetişmesi	Eğitim Hayatı ve Etkilendiği Şehirler	Vatan ve Hürriyet'in kurulduğu şehir?	Şam
Tarih	Mustafa Kemal'in Lider Olarak Yetişmesi	Fikir Hayatını Etkileyenler	Vatan ve hürriyet düşünürü?	Namık Kemal
Tarih	Mustafa Kemal'in Lider Olarak Yetişmesi	Fikir Hayatını Etkileyenler	Milliyetçilikte etkili düşünür?	Ziya Gökalp
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Fikir Akımları	Tüm Osmanlıları birleştirme fikri?	Osmanlıcılık
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Fikir Akımları	Halife çevresinde birleşme?	İslamcılık
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Trablusgarp ve Balkan Savaşları	Trablusgarp'a saldıran devlet?	İtalya
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Trablusgarp ve Balkan Savaşları	Trablusgarp antlaşması?	Uşi Antlaşması
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Savaşın Nedenleri ve Girilmesi	Osmanlı-Almanya ittifakı tarihi?	2 Ağustos 1914
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Savaşın Nedenleri ve Girilmesi	Osmanlıyı savaşa sokan gemiler?	Yavuz ve Midilli
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Cepheler	Sarıkamış Harekâtı cephesi?	Kafkas Cephesi
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Cepheler	Kutü'l-Amâre Zaferi cephesi?	Irak Cephesi
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Ermenilerin Sevk ve İskânı	Nakil kanununun adı?	Sevk ve İskân
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Ermenilerin Sevk ve İskânı	Sevk ve İskân Kanunu'nun gerekçesi?	Güvenlik sorunları
Tarih	I. Dünya Savaşı'nın Sonuçları	Genel Sonuçlar	Barış için kurulan cemiyet?	Milletler Cemiyeti
Tarih	I. Dünya Savaşı'nın Sonuçları	Genel Sonuçlar	I. Dünya Savaşı sonrası sömürgeciliğin adı?	Manda ve himaye
Tarih	I. Dünya Savaşı'nın Sonuçları	Mondros Ateşkes Antlaşması (1918)	Mondros tarihi?	30 Ekim 1918
Tarih	I. Dünya Savaşı'nın Sonuçları	Mondros Ateşkes Antlaşması (1918)	İşgal hakkı veren madde?	7. madde
Tarih	Millî Mücadele'ye Hazırlık Dönemi-I	İzmir'in İşgali ve Kuvay-ı Milliye	İzmir'in işgal tarihi?	15 Mayıs 1919
Tarih	Millî Mücadele'ye Hazırlık Dönemi-I	İzmir'in İşgali ve Kuvay-ı Milliye	İlk kurşunu atan?	Hasan Tahsin
Tarih	Millî Mücadele'ye Hazırlık Dönemi-I	Cemiyetler	İzmir'in işgaline karşı kurulan yararlı cemiyet?	Redd-i İlhak
Tarih	Millî Mücadele'ye Hazırlık Dönemi-I	Cemiyetler	Wilson Prensipleri Cemiyetinin savunduğu fikir?	Manda ve himaye
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Havza ve Amasya Genelgeleri	Miting çağrısı yapan genelge?	Havza Genelgesi
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Havza ve Amasya Genelgeleri	Gerekçe-amaç-yöntem belgesi?	Amasya Genelgesi
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Erzurum ve Sivas Kongreleri	Millî sınırlardan ilk söz eden?	Erzurum Kongresi
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Erzurum ve Sivas Kongreleri	Cemiyetleri birleştiren kongre?	Sivas Kongresi
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Amasya Görüşmeleri ve Misak-ı Milli	Temsil Heyetini tanıyan hükûmet?	İstanbul Hükûmeti
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Amasya Görüşmeleri ve Misak-ı Milli	Millî sınır belgesi?	Misak-ı Millî
